"eggs","You can't make a genuine tempera painting without breaking these"
"collage","Surrealists used odd juxtapositions in this form whose name is French for ""gluing"
"photographs","Edward Steichen led the movement to recognize as art these images, whose name means ""drawn with light"
"claudemonet","In 1920 this impressionist, known for his water lilies, painted another plant, ""Wisteria"
"renaissance","In the 1300s Italy gave birth to this art movement that would eventually sweep across Europe"
"jacksonpollock","This artist used trowels, sticks and even basters to create some of his drip paintings, like ""Cathedral"
"douardmanet","In 1865 he shocked Paris with ""Olympia"", his painting of a reclining nude"
"clay","Ceramics is the art of making objects, even dreidels, out of this material"
"tempera","The name of this type of paint that contains egg yolks almost sounds like a Japanese dish, but don't eat it"
"clowns","Georges Rouault liked to include some tragic ones of these in his works; Red Skelton specialized in them"
"rembrandt","A Gerrit Dou work is sometimes known as ""The Mother of"" this painter with whom Dou studied in 17th century Leiden"
"hudsonriver","19th c. painter Thomas Cole lived in Catskill, N.Y. on this river, whose ""School"" he helped found"
"fragonard","A note formerly on the back of ""Figure de fantasie"" by this Rococo painter says it was done in one hour"
"titian","This Venetian, said his pupil Palma Giovane, ""used his fingers more than his brush"" to finish his lush works"
"ming","This Chinese dynasty that reigned from 1368 to 1644 was known for beautiful vases"
"raphael","Dante Gabriel Rossetti wanted to take art back to ""pre-"" this Renaissance master born in 1483"
"joshuareynolds","We're not joshing--in 1769 this portrait painter got knighted"
"postimpressionist","Roger Fry of the Met coined this term for the works of artists like Cezanne and Gauguin"
"monet","The Regatta at Argenteuil"" shows this Frenchman's love of water subjects, like lilies"
"ashcanschool","Life in the tenements of New York was a favorite subject of this Robert Henri ""School"
"salvadordali","In 1936 Time Magazine featured this mustachioed Surrealist on its cover"
"adameve","In Masaccio's ""Expulsion from Paradise"", an archangel with a sword hovers over this pair"
"paulgauguin","The Nabis were painters in Paris who emulated the primitive style of this artist who left France for Tahiti in 1891"
"albrechtdurer","This artist born in 1471 probably learned everything from his father, a goldsmith, also named Albrecht"
"claesoldenburg","This Swedish-born artist is known for his giant versions of common objects, like burgers or ice cream cones"
"herod","The central figure in a biblical Rubens painting is Salome, who is presenting the head of John the Baptist to this biblical king"
"titian","A rich auburn is named for this Venetian artist, who favored that hair color in his paintings"
"elgreco","It's the nickname of painter Domenikos Theotokopoulos, acquired when he lived in Italy"
"grandmamoses","When arthritis made needlework difficult, she turned to painting copies of Currier and Ives prints"
"hansholbein","1 of this German's first commissions when he moved to England was to paint the family of Sir Thomas More"
"marycassatt","This American Impressionist formed a close friendship with Degas and posed for his ""At the Milliner's"
"henrirousseau","19th century French Primitive artist who painted ""The Snake Charmer"
"impressionists","Manet didn't exhibit with this group but his sister-in-law Berthe Morisot did"
"spanishrepublic","Robert Motherwell painted over 100 versions of ""Elegy to"" this ""Republic"" that Picasso mourned too"
"normanrockwell","He was just 22 when he illustrated his first Saturday Evening Post cover in 1916"
"venus","In 1538 Titian painted this Roman goddess of beauty reclining nude on a bed"
"edgardegas","He painted Mademoiselle Lala hanging by her teeth in the circus, but he's more famous for his ballerinas"
"lautrec","This Frenchman put himself and his cousin Tapie in his 1892 painting ""At the Moulin Rouge"
"salvadordal","This late artist was also a jewelry designer; you might expect his watches to be limp"
"rodin","The ""Thinker"" guards the entrance to the Philadelphia museum devoted to this sculptor"
"raphaelite","An artist dedicated to reviving early Renaissance style and methods is described as ""pre-"" this"
"ramsesii","Egypt's temple of Abu Simbel features 4 figures of this pharaoh carved out of the rock"
"jasperjohns","His paintings of flags and targets at a one-man show in 1958 unleashed a storm of controversy"
"ivory","This gemlike carving material was obtained from walruses as well as elephants"
"toulouselautrec","This diminutive poster artist broke his legs in childhood falls, inhibiting their growth"
"alion","The animal featured both in Rousseau's ""The Sleeping Gypsy"" and ""The Dream"
"picasso","New and unknown in Paris, at 22 he painted ""The Old Guitarist"" in shades of blue that reflected his mood"
"georgesseurat","The most famous ""Sunday Afternoon"" this pointillist painted was on the ""Grand Jatte"
"stainedglass","In the cathedral at Chartres, most of this translucent artwork from the 13th century is still in place"
"coneyisland","Joseph Stella is known for a series of paintings of this amusement park at the southern end of Long Island"
"etchings","(Cheryl of the Clue Crew at Rembrandt's house in Amsterdam)  Rembrandt used metal plates and this oak press to make copies of this type of artwork"
"comedytragedy","19th century sculptor William Rush is famous for this pair of figures he did for a theater in Philadelphia"
"montmartre","Maurice Utrillo's White Period featured streets of this Paris area, also home to Amelie and Toulouse-Lautrec"
"delaware","Emanuel Leutze used the Rhine as a model for his painting of ""Washington Crossing"" this river"
"michelangelo","A pieta now in the cathedral of Florence was originally meant for this artist's tomb"
"claudemonet","He painted a series of ""Haystacks"" before turning to water lilies"
"rembrandt","His ""Anatomy Lesson of Dr. Tulp"" established him as one of Amsterdam's great portrait painters"
"winslowhomer","Northeaster"", an 1895 painting by this American artist, depicts the ocean striking the Maine shore"
"grandmamoses","Born Anna Mary Robertson, this artist died in 1961 at age 101"
"michelangelo","In 1534 Pope Paul III named him painter, sculptor and architect of the Vatican Palace"
"winslowhomer","As a teenager, Andrew Wyeth was inspired by this American seascape artist"
"paulgauguin","In 1888 Vincent van Gogh threatened to kill this artist who was his roommate at the time"
"paris","Maurice Utrillo was famous for his paintings of this city, especially of Montmartre"
"rembrandt","In 1961 the Met purchased his ""Aristotle Contemplating the Bust of Homer"" for $2.3 million"
"rodin","In 1978 3 of his bronzes, including ""The Clenched Hand"", were stolen from the St. Louis Art Museum"
"andrewwyeth","His son Jamie is the day-dreaming boy with the coonskin hat in his 1952 watercolor ""Faraway"
"atriptych","Ususally an altarpiece, it's a painting consisting of 3 separate panels"
"dal","Andre Breton hailed this man's art as ""the most hallucinatory known until now"
"alfredstieglitz","Aptly, Georgia O'Keeffe's first one-woman show was at this man's 291 Gallery"
"realism","Courbet was the leader of this movement; verism is an extreme form of it"
"mosaics","The floor type of this art form originated with pebble floors laid in late-Neolithic Crete"
"toulouselautrec","In 1892 this French artist portrayed dancer La Goulue entering the Moulin Rouge"
